id,img_name,source,anger,disgust,fear,joy,neutral,sadness,surprise
224_faceplusplus,224,faceplusplus,0.001,0.106,1.9,0.001,93.653,4.338,0.001
225_faceplusplus,225,faceplusplus,0.003,0.162,0.012,0.005,46.144,53.67,0.003
226_faceplusplus,226,faceplusplus,0.0,0.024,0.0,0.0,0.299,99.677,0.0
227_faceplusplus,227,faceplusplus,0.001,0.038,0.124,0.001,7.548,92.287,0.001
228_faceplusplus,228,faceplusplus,0.0,0.012,0.001,0.0,0.016,99.971,0.0
229_faceplusplus,229,faceplusplus,0.0,0.001,0.001,0.0,0.084,99.913,0.0
230_faceplusplus,230,faceplusplus,0.0,0.021,0.077,0.0,0.084,99.817,0.0
231_faceplusplus,231,faceplusplus,0.002,5.755,0.026,0.018,26.322,67.875,0.002
232_faceplusplus,232,faceplusplus,0.0,0.008,0.4,0.0,0.116,99.475,0.0
233_faceplusplus,233,faceplusplus,0.005,0.083,3.751,0.001,0.488,95.671,0.001
234_faceplusplus,234,faceplusplus,0.0,2.645,0.191,0.0,0.155,97.007,0.0
235_faceplusplus,235,faceplusplus,0.0,0.569,0.0,0.0,0.019,99.412,0.0
236_faceplusplus,236,faceplusplus,0.005,0.066,1.121,0.0,0.158,98.649,0.0
237_faceplusplus,237,faceplusplus,0.008,0.089,0.008,0.0,0.051,99.843,0.0
238_faceplusplus,238,faceplusplus,0.0,0.019,0.007,0.0,0.03,99.944,0.0
239_faceplusplus,239,faceplusplus,0.0,0.011,0.001,0.0,0.001,99.986,0.0
240_faceplusplus,240,faceplusplus,0.0,0.006,0.004,0.0,0.33,99.66,0.0
241_faceplusplus,241,faceplusplus,0.001,0.006,0.004,0.0,0.003,99.987,0.0
242_faceplusplus,242,faceplusplus,0.001,0.006,0.001,0.0,0.002,99.99,0.0
243_faceplusplus,243,faceplusplus,0.0,0.013,0.0,0.0,0.001,99.986,0.0
244_faceplusplus,244,faceplusplus,0.0,0.02,0.002,0.0,0.003,99.975,0.0
245_faceplusplus,245,faceplusplus,0.0,0.025,0.0,0.0,0.027,99.948,0.0
246_faceplusplus,246,faceplusplus,0.0,0.212,0.024,0.0,0.003,99.762,0.0
